name,date,value
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-01-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-02-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-03-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-04-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-05-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-06-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-07-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-08-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-09-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-10-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-11-01,
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2000-12-01,414.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-01-01,495.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-02-01,486.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-03-01,575.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-04-01,458.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-05-01,480.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-06-01,451.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-07-01,444.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-08-01,410.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-09-01,427.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-10-01,458.0
 Construction Total US All areas Hires All size classes Level - In Thousands Seasonally adjusted,2001-11-01,453.0
